Title	URL	Assignees	Status
As a user I want to be able to navigate smoothly between tabs in the app			Product Backlog
As a user I want to be able to see the paths I want even when I am offline so that I can follow them when I don't have any internet connection			Product Backlog
As a user I want to be able to save a route from another user so that I can easily come back to it when needed			Product Backlog
As a user I want to be able to add my friends so that I can see the paths they have created			Product Backlog
As a user, I want to be able to download a path so that I can follow it without internet			Product Backlog
As a user, I want to be reminded that I'm offline when I don't have any internet connection ("Sorry, I'm offline")			Product Backlog
As a user I want to be able to check the highest rated paths for a given city so that I can explore the place with good recommendations			Product Backlog
As a user I want to be showed points of interest in the city I'm visiting so that I can easily plan my trip and path			Product Backlog
As a user I want to be able to organise my paths into "folders" so that I can easily navigate through them			Product Backlog
As a user I want to be able to choose some privacy settings so that I can select who can see the paths I created			Product Backlog
As a user I want to be able to take pictures of a spot directly through the app so that I don't have to take pictures before uploading them			Product Backlog
As a connected user I want to be able to rate other paths so that I can recommend the paths I think are the best			Product Backlog
Modify the CI so that the code coverage reports is uploaded to SolarCloud when pushing to the master branch	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/102	cleorenaud	Done in Sprint 5
UserProfile: update the user profile for the follower and following properties	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/105	cleorenaud	Done in Sprint 5
Change Database structure to make PinnedPlaces contain a list of picture urls	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/99	Jeremmmyyyyy, theoschiff	Done in Sprint 5
Make add spot uploading the pictures to firestore	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/100	Jeremmmyyyyy	Done in Sprint 5
Bugfix of map crashing when a path was selected	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/111	Jeremmmyyyyy	Done in Sprint 5
Create on Figma the screens for the profile creation & profile modification and update the rest		loicmisenta	Done in Sprint 5
This changes the DB for pinned places	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/pull/103		Done in Sprint 5
UserProfile: update the follower and following screen to match the Figma	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/109	cleorenaud	Done in Sprint 5
Add spot gets put in the Database		Jeremmmyyyyy	Done in Sprint 5
User Profile : create the UI for the profile edition	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/119	JCHAVEROT	Done in Sprint 5
Home Screen : Improve filter search	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/81	theoschiff	Done in Sprint 5
Start Screen : add it to UI path		SpaceMercury	Done in Sprint 5
Changed how the paths are displayed on the screen	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/112	Jeremmmyyyyy	Done in Sprint 5
Display the pins on the map and allow to view description and pictures	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/113	Jeremmmyyyyy	Done in Sprint 5
Create tests for the Google maps screen	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/40	JCHAVEROT, Jeremmmyyyyy, loicmisenta	Done in Sprint 4
End To End Test		SpaceMercury	In Development
UserProfile: integrate the User Profile Edit Screen into the app	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/148	JCHAVEROT	In Review
UserProfile : MyTrips UI	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/126	loicmisenta	In Review
Make the sign in upload a template profile to the DB	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/157	UnavailableCode	In Review
User Profile : Create UI for the Settings screen	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/133	JCHAVEROT	In Review
UserProfile : write tests for follower, following et friend search view	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/152	cleorenaud	In Development
Create tests for Record Screen	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/41	loicmisenta	Done in Sprint 6
UserProfileOverview tests	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/122	SpaceMercury	Done in Sprint 6
MapPopupTests coverage		SpaceMercury	Done in Sprint 6
Bug: Fix following, follower and friend finder views	https://github.com/EPFL-SwEnt-2024-LaStartUp/TripTracker/issues/153	cleorenaud	Done in Sprint 6
